uid,register_date,login_duration,login_days,login_count,churn_or_not,pay_in_may,pay_to_may,level
195891557000176,2/21/18,1080.404,2,2,1,0.00 ,0.00 ,4
195983393000176,2/21/18,512.736,1,1,1,0.00 ,0.00 ,3
198975169000176,2/21/18,344408.551,31,487,0,307.839,745.801,21
199015859000176,2/21/18,97919.886,31,371,0,3.493,9.065,17
200577900000176,2/21/18,39171.553,24,49,1,0.00 ,0.00 ,15
200884930000176,2/21/18,232.309,1,1,1,0.00 ,0.00 ,1
201201540000176,2/21/18,1747.461,2,3,1,0.00 ,0.00 ,10
201823140000176,2/21/18,635.813,1,1,1,0.00 ,0.00 ,2
202766429000176,2/21/18,226287.277,31,318,0,375.088,1135.757,25
202864690000177,2/22/18,66760.323,19,70,0,0.00 ,4.186,16
204873880000176,2/21/18,290120.064,30,724,0,0.00 ,6.993,22
206992435000176,2/21/18,36400.591,31,125,0,0.00 ,3.493,15
211136304000176,2/21/18,196563.906,20,138,0,13.993,267.225,22
21136412000176,2/20/18,1174.725,1,1,1,0.00 ,0.00 ,2
21182422000176,2/20/18,4628.989,2,9,1,0.00 ,0.693,13
21481972000176,2/20/18,396064.844,31,305,0,416.626,678.160,24
215676541000176,2/21/18,11442.849,14,36,1,0.00 ,0.00 ,15
219175316000176,2/21/18,710.631,1,2,0,0.00 ,0.00 ,3
224264722000168,2/11/18,8481.005,1,6,0,100.681,259.406,19
226071974000176,2/21/18,179536.976,31,237,0,22.372,75.544,18
2299585000176,2/20/18,618.834,1,1,1,0.00 ,0.00 ,2
230949843000176,2/21/18,483.383,1,1,1,0.00 ,0.00 ,6
23186826000176,2/20/18,24.099,1,1,1,0.00 ,0.00 ,3
23580283000176,2/20/18,8116.216,10,15,0,0.00 ,0.00 ,11
238095995000176,2/21/18,1830.038,2,2,0,0.00 ,0.00 ,11
238228392000176,2/21/18,180.37,1,1,1,0.00 ,0.00 ,3
240595574000176,2/21/18,303.894,1,1,0,0.00 ,0.00 ,2
242712926000176,2/21/18,11082.741,10,17,0,0.00 ,0.00 ,13
242802833000168,2/11/18,5434.273,1,5,0,205.653,507.136,25
25454839000176,2/20/18,208.02,1,6,0,0.00 ,0.00 ,2
254594183000176,2/21/18,64.764,1,1,1,0.00 ,0.00 ,2
258878432000176,2/21/18,628.975,3,3,1,0.00 ,0.00 ,3
259021688000171,2/14/18,3211.323,1,5,0,381.283,1487.269,25
26392287000176,2/20/18,2876.005,1,5,1,0.00 ,0.00 ,3
267071953000176,2/21/18,49669.278,27,104,0,0.00 ,62.972,18
26971262000176,2/20/18,229.048,1,2,1,0.00 ,0.00 ,4
271067050000176,2/21/18,1134.584,1,1,1,0.00 ,0.00 ,4
273447689000175,2/19/18,6269.653,8,17,0,0.00 ,3.493,13
274225476000176,2/21/18,1444.884,6,10,1,0.00 ,0.00 ,12
276465943000171,2/15/18,213.887,1,1,0,0.00 ,10.486,19
276966266000176,2/21/18,32311.808,30,124,0,0.00 ,0.00 ,16
278006429000170,2/13/18,10800.199,1,1,0,102.830,1276.912,25
279183630000176,2/21/18,42416.01,29,68,0,0.00 ,38.465,16
28036510000176,2/20/18,348.985,1,1,1,0.00 ,0.00 ,2
283210888000176,2/21/18,77.275,1,1,1,0.00 ,0.00 ,1
283564304000176,2/21/18,130.101,3,3,1,0.00 ,0.00 ,2
285886489000176,2/21/18,24749.969,26,60,0,0.00 ,0.00 ,13
288356733000176,2/21/18,3630.43,4,4,0,0.00 ,0.00 ,3
292663052000175,2/19/18,1761.315,1,2,0,0.00 ,50.358,17
293812030000176,2/21/18,84.319,1,1,1,0.00 ,0.00 ,6
29574302000180,2/27/18,8157.794,1,4,0,0.00 ,0.00 ,14
29621537000176,2/20/18,623.822,1,1,1,0.00 ,0.00 ,1
296566000000176,2/21/18,184.711,1,1,1,0.00 ,0.00 ,2
297771373000176,2/21/18,131.87,1,1,1,0.00 ,0.00 ,3
29835857000176,2/20/18,289177.338,31,283,0,0.00 ,80.437,22
298525045000176,2/21/18,301.379,1,1,1,0.00 ,0.00 ,5
298701973000176,2/21/18,710.119,2,2,1,0.00 ,0.00 ,1
299558939000176,2/21/18,3575.28,6,8,1,0.00 ,0.00 ,10
300611451000176,2/21/18,648.625,2,2,0,0.00 ,0.00 ,5
300889645000171,2/15/18,6145.763,1,5,0,1801.639,7109.550,30
301533234000176,2/21/18,779.999,1,1,1,0.00 ,0.00 ,2
303050189000176,2/21/18,3459.237,5,12,1,0.00 ,0.00 ,5
304945573000176,2/21/18,6417.574,3,8,0,0.00 ,0.00 ,11
305605782000176,2/21/18,43750.08,31,175,0,0.00 ,0.00 ,13
305756230000176,2/21/18,106.56,1,1,1,0.00 ,0.00 ,3
30633125000176,2/20/18,455.752,1,1,1,0.00 ,0.00 ,2
30683880000176,2/20/18,880.515,5,6,1,0.00 ,6.986,12
307085588000176,2/21/18,224.172,1,1,0,0.00 ,0.00 ,2
310904477000168,2/11/18,1292.993,1,1,0,6.930,535.241,22
311439841000176,2/21/18,1856.241,1,4,1,0.00 ,0.00 ,14
314622043000176,2/21/18,3667.389,1,2,1,0.00 ,0.00 ,8
315704829000176,2/21/18,656.393,1,1,1,0.00 ,0.00 ,2
317008151000176,2/21/18,19199.546,5,13,0,0.00 ,0.00 ,7
318020209000176,2/21/18,8009.137,3,5,0,0.00 ,0.00 ,10
319318942000176,2/21/18,32936.005,19,97,1,0.00 ,0.00 ,11
319989830000176,2/21/18,341168.151,31,768,0,1330.112,1883.560,25
320516672000171,2/15/18,6775.272,1,9,0,51.002,51.002,19
323415099000176,2/21/18,823.978,1,1,1,0.00 ,0.00 ,2
323515670000176,2/21/18,3831.382,2,11,1,0.00 ,0.00 ,5
326343533000176,2/21/18,3448.856,6,6,0,0.00 ,0.00 ,3
32754243000176,2/20/18,313.103,1,1,0,0.00 ,74.109,12
327698149000176,2/21/18,7592.873,25,43,1,0.00 ,0.00 ,14
331709905000176,2/21/18,7843.909,20,32,0,0.00 ,0.00 ,2
331844875000176,2/21/18,6810.935,2,10,1,0.00 ,0.00 ,5
332445088000176,2/21/18,49654.057,30,108,0,0.00 ,0.00 ,12
333651819000176,2/21/18,547648.865,31,640,0,1381.233,5021.191,30
334183894000176,2/21/18,1131.474,1,2,1,0.00 ,0.00 ,2
334449613000176,2/21/18,231.117,1,1,1,0.00 ,0.00 ,1
336162123000176,2/21/18,7654.668,4,6,1,0.00 ,0.00 ,16
336433617000176,2/21/18,150266.693,30,190,0,20.986,20.986,14
338833436000176,2/21/18,68461.702,28,119,0,0.00 ,0.00 ,16
342053648000176,2/21/18,2.318,1,1,0,0.00 ,0.00 ,6
344127610000171,2/15/18,6826.524,1,18,0,230.888,834.043,23
345967586000176,2/21/18,1851.653,9,10,0,0.00 ,0.00 ,2
347540333000176,2/21/18,1376.055,2,2,1,0.00 ,0.00 ,1
347757124000176,2/21/18,108546.052,29,145,0,0.00 ,0.00 ,17
351041729000176,2/21/18,35241.047,27,54,0,59.465,167.888,16
35282705000176,2/20/18,65.413,1,1,1,0.00 ,0.00 ,4
